,URL,Title,Date
169,https://tass.ru/obschestvo/6135361,"Глава МЧС потребовал от руководителей шести регионов усилить меры пожарной безопасности

",https://tass.ru/obschestvo/6135361
170,https://tass.ru/obschestvo/6135391,"В Екатеринбурге открылась выставка, посвященная 100-летию образования Башкирии

",https://tass.ru/obschestvo/6135391
171,https://tass.ru/ekonomika/6135313,"Новым истцом по делу о строительстве стадиона на Крестовском стала ООО Новые технологии

",https://tass.ru/ekonomika/6135313
172,https://tass.ru/obschestvo/6135217,"В чемпионате WorldSkills в Коми впервые приняли участие специалисты старше 50 лет

",https://tass.ru/obschestvo/6135217
173,https://tass.ru/proisshestviya/6134809,"Пожар на площади 300 кв. м произошел в лесопарковой зоне в Краснодаре

",https://tass.ru/proisshestviya/6134809
174,https://tass.ru/v-strane/6134569,"На Курилах построят четыре жилых микрорайона

",https://tass.ru/v-strane/6134569
175,https://tass.ru/ekonomika/6134727,"Суд в Белгороде оставил без движения до 11 марта иск Сбербанка о банкротстве дилера Nissan

",https://tass.ru/ekonomika/6134727
176,https://tass.ru/obschestvo/6134427,"В Нижегородской области мониторинг соцсетей ускорил решение проблем с вывозом мусора

",https://tass.ru/obschestvo/6134427
177,https://tass.ru/obschestvo/6134415,"Труженица тыла из Татарстана будет обеспечена комфортным жильем

",https://tass.ru/obschestvo/6134415
178,https://tass.ru/ekonomika/6134319,"Одиннадцать регионов нарушили условия бюджетных кредитов в 2018 году

",https://tass.ru/ekonomika/6134319
179,https://tass.ru/obschestvo/6134332,"Более 50 экспертов оценивают действия полуфиналистов конкурса Лидеры России в ЦФО

",https://tass.ru/obschestvo/6134332
180,https://tass.ru/obschestvo/6134194,"Москва, Тюмень и Санкт-Петербург возглавили рейтинг устойчивого развития городов России

",https://tass.ru/obschestvo/6134194
181,https://tass.ru/ekonomika/6133380,"В Бурятии до 70% территории выделят под программу дальневосточного гектара

",https://tass.ru/ekonomika/6133380
182,https://tass.ru/obschestvo/6133402,"Крым планирует заменить в этом году 900 лифтов

",https://tass.ru/obschestvo/6133402
183,https://tass.ru/ekonomika/6133304,"Новые плацкартные вагоны в рамках реновации появятся в поездах из Москвы в Ростов и Анапу

",https://tass.ru/ekonomika/6133304
184,https://tass.ru/obschestvo/6133138,"Новые детсады в 2019 году дадут Приамурью 410 дополнительных мест

",https://tass.ru/obschestvo/6133138
185,https://tass.ru/obschestvo/6132359,"Овсянников изменения в штате правительства Севастополя помогут улучшить результат по ФЦП

",https://tass.ru/obschestvo/6132359
186,https://tass.ru/interviews/6131082,https__tass.ru_interviews_6131082,https://tass.ru/interviews/6131082
187,https://tass.ru/v-strane/6132264,"Самое теплое за всю историю наблюдений 18 февраля отмечено в Приморье и Хабаровском крае

",https://tass.ru/v-strane/6132264
188,https://tass.ru/v-strane/6132251,"Памятник Хо Ши Мину установят во Владивостоке ко 2 июля

",https://tass.ru/v-strane/6132251
